楼盘名,楼盘地址,所在地区,房子户型,房子面积,房子价格
越秀·星汇云城,[ 白云 广州大道北 ] 同宝路163号（同和地铁 D 出口/华快沙...,白云,2室/3室/4室,建筑面积：78-120㎡,42000
龙湖招商·天鉅,[ 白云 白云大道 ] 白云新城黄石西路601号,白云,3室/4室,建筑面积：85-122㎡,55000
元邦明月翡翠,[ 白云 机场路 ] 规划中12号线南航新村站旁,白云,1室/2室/3室,建筑面积：40-78㎡,43000
天健云山府,[ 白云 白云大道 ] 白云新城白云大道南397号,白云,3室/4室,建筑面积：75.6-144.1㎡,66000
万科未来森林,[ 白云 机场路 ] 黄石西路小坪立交引桥位置,白云,3室/4室,建筑面积：80-95㎡,53000
建发九龙仓央玺,[ 白云 石井 ] 广州市白云区石潭路568号,白云,2室/3室/4室,建筑面积：98-128㎡,43000
广州城投保利金沙大都汇,[ 白云 金沙洲 ] 白云区金沙洲沙贝地铁站A口右转100米,白云,商业,建筑面积：48-84㎡,26000
花生大厦,[ 白云 太和 ] 民营科技园科园路13号（近太和地铁站，...,白云,商业,建筑面积：40-66㎡,15000
伟腾云星,[ 白云 白云大道 ] 鹤龙一路766-782号,白云,2室/3室,建筑面积：77-128㎡,42000
中铁诺德·阅泷,[ 白云 广花路 ] 广花一级公路430号（规划地铁8/24号线...,白云,2室/3室,建筑面积：80-120㎡,31000
合景朗云花园,[ 白云 广花路 ] 广花一路,白云,4室,建筑面积：93-121㎡,43000
顺景花园星悦轩,[ 白云 罗冲围 ] 石井镇黄石路111号,白云,2室/3室,建筑面积：74.48-102.42㎡,39000
纵横揽云,[ 白云 机场路 ] 佳园街37-45号（单）,白云,2室/3室,建筑面积：79.56-95.63㎡,43000
保利阅云台,[ 白云 三元里 ] 三元里大道以北（智慧少年宫旁）,白云,3室/4室,建筑面积：79-110㎡,50000
保利珑玥公馆,[ 白云 钟落潭 ] 广从七路钟落潭地铁A出口500米,白云,3室/4室,建筑面积：83-102㎡,
荣升珑樾,[ 白云 广州大道北 ] 蟹石路2-38号（双号）,白云,2室/3室/4室,建筑面积：67-120㎡,45000
华润置地·广州润府,[ 白云 白云大道 ] 均禾大道与鹤龙二路交汇处,白云,4室/5室,建筑面积：105-133㎡,40000
新世界云逸,[ 白云 白云大道 ] 白云新城2、3、14号线嘉禾望岗地铁枢纽...,白云,3室/4室,建筑面积：77.16-180㎡,55000
绿地云央,[ 白云 机场路 ] 草塘路(科兴路民科园北门),白云,3室/4室,建筑面积：98-138㎡,27000
流溪半岛,[ 白云 人和 ] 江人三路1010-1018号,白云,2室/3室,建筑面积：92-123㎡,25000
云山壹品,[ 白云 白云大道 ] 白云白云区白云大道南金信路,白云,1室/3室/4室,建筑面积：61-189㎡,60000
新天半山墅,[ 白云 南湖 ] 广州大道北,白云,4室/别墅,建筑面积：271-445㎡,3800
保利紫云,[ 白云 白云大道 ] 西苑路,白云,2室/3室,建筑面积：86-106.86㎡,43000
君立国际公寓,[ 白云 广州大道北 ] 广州大道北同和路318号,白云,商业,建筑面积：37-58㎡,31000
恒大御府,[ 白云 广州大道北 ] 怡新路,白云,2室/3室/4室,建筑面积：69-180㎡,52000
华远·雲和墅,[ 白云 白云大道 ] 白云大道北大一大街23号,白云,别墅,建筑面积：184-236㎡,90000
白云之窗（写字楼）,[ 白云 白云大道 ] 云城东路555号,白云,,建筑面积：1394-1400㎡,
龙光玖誉府,[ 白云 广花路 ] 江高镇江府路（江高镇人民政府旁）,白云,,建筑面积：95443㎡,
富力城花园商铺,[ 白云 广花路 ] 平沙大道华灯街,白云,,建筑面积：1287.52㎡,13099
白云之窗,[ 白云 白云大道 ] 云城东路555号,白云,商业,建筑面积：119-320㎡,
广州佳兆业白云城市广场,[ 白云 机场路 ] 黄石西路,白云,,建筑面积：1620000㎡,
金湖花园,[ 白云 广州大道北 ] 沙太北路938号（华快三期沙太路出口）,白云,,建筑面积：35177㎡,
广州嘉禾金铂天地,[ 白云 白云大道 ] 望岗鹤龙二路333号,白云,,建筑面积：120000㎡,
三元里中心,[ 白云 机场路 ] 机场路33号,白云,,建筑面积：177000㎡,
绿地汇创国际,[ 白云 机场路 ] 北太路民营科技园科强路,白云,商业,建筑面积：35-252㎡,15000
富力金街28,[ 白云 金沙洲 ] 金沙洲环洲三路与沙凤一路交汇处（金沙...,白云,,建筑面积：215-334㎡,14200
海航白云YH城,[ 白云 机场路 ] 白云嘉禾街道106国道,白云,,建筑面积：100000㎡,
敏捷科创中心,[ 白云 机场路 ] 北太路,白云,商业,建筑面积：55-55㎡,16000
珠光云山壹号,[ 白云 广州大道北 ] 广州军区157医院地块,白云,,建筑面积：70055㎡,
星汇金沙,[ 白云 金沙洲 ] 金沙洲西南面，万科idea爱地住区南侧,白云,2室/3室/4室/别墅,建筑面积：98-240㎡,40000
保利云禧,[ 白云 白云大道 ] 云城东路以西，齐富路以北,白云,3室/4室/5室,建筑面积：140-380㎡,65000
御金沙,[ 白云 金沙洲 ] 浔峰山东路(地铁六号线首发站浔峰岗站...,白云,,建筑面积：450000㎡,1400
一品湖山,[ 白云 广州大道北 ] 同和路688号,白云,2室/3室/4室/5室,建筑面积：93-187㎡,32000
佳兆业天御,[ 白云 广州大道北 ] 沙太路20号,白云,3室/4室,建筑面积：93-128㎡,61000
凯云新世界,[ 白云 白云大道 ] 新城岭南新世界岭云路,白云,3室/5室,建筑面积：134-240㎡,36000
颐和大院,[ 白云 白云大道 ] 同泰路,白云,别墅,建筑面积：718-775㎡,45000
金湖翡翠山,[ 白云 广州大道北 ] 沙太北路938号（广州大道北直行3公里，...,白云,别墅,建筑面积：250-256㎡,55000
保利瓏熙,[ 白云 罗冲围 ] 罗冲围松鹤街（罗冲围客运站侧）,白云,2室/3室/4室,建筑面积：73-141㎡,24000
白云新世界,[ 白云 白云大道 ] 北1689号,白云,2室/3室/4室,建筑面积：85-144㎡,
时代花生II,[ 白云 南湖 ] 广州大道北同和东坑蟾蜍石北路（同和地...,白云,3室/5室,建筑面积：85-123㎡,
穗和城,[ 白云 机场路 ] 人和镇人和大马路（106国道）与方华路...,白云,2室/3室,建筑面积：90-122㎡,
白云尚城,[ 白云 白云大道 ] 黄石北路137-157号,白云,2室/3室/4室,建筑面积：85-156㎡,
都市品格,[ 白云 白云大道 ] 鹤龙一路521—553号（广州市司法学校对...,白云,1室/2室/3室/4室/5室,建筑面积：40.5-181.74㎡,
中海云麓公馆,[ 白云 机场路 ] 新城云城西路地段,白云,3室/4室,建筑面积：210-269㎡,
尚境雅筑,[ 白云 罗冲围 ] 增槎路松南北街2-18号,白云,2室/3室,建筑面积：69-112㎡,
广百新城邦项目,[ 白云 三元里 ] 白云机场路与三元里大道交界处,白云,,建筑面积：52446㎡,
万科峯境,[ 白云 白云大道 ] 白云大道南339号,白云,,建筑面积：130000㎡,30000
深业江悦湾,[ 白云 金沙洲 ] 彩滨北路,白云,2室/3室/4室,建筑面积：78.7-191.14㎡,25000
颐和高尔夫庄园,[ 白云 南湖 ] 华南快速路,白云,别墅,建筑面积：90-739㎡,55000
正升雅境,[ 白云 三元里 ] 三元里大道963号,白云,1室/2室/3室,建筑面积：46-146.5㎡,23000
金沙山海名门,[ 白云 金沙洲 ] 里广路2号,白云,商业,建筑面积：50㎡,22000
绿地时代云都汇,[ 白云 白云大道 ] 黄园路123号,白云,,建筑面积：59286㎡,30000
佳润云凯雅寓,[ 白云 广州大道北 ] 同和地铁站北行200米,白云,商业,建筑面积：41-85㎡,21000
广州华发四季,[ 白云 白云大道 ] 集贤庄集贤小学附近,白云,4室/5室,建筑面积：144-260㎡,
易通四方大厦,[ 白云 白云大道 ] 科颖路16号（广州民营科技园园区内）,白云,商业,建筑面积：48.05-114㎡,
白云堡豪苑,[ 白云 白云大道 ] 嘉禾白云堡道一号,白云,3室/5室,建筑面积：230-295㎡,45000
珠江岭南苑,[ 白云 白云大道 ] 云城东路,白云,5室,建筑面积：381㎡,100000
宏鼎云璟汇,[ 白云 白云大道 ] 白云区云城东路559-571号,白云,商业,建筑面积：62-100㎡,50000
敏捷花城里,[ 白云 金沙洲 ] 浔峰洲路（四季花城南门，广佛高速泌冲...,白云,2室/3室,建筑面积：72-102㎡,10000
保利西海岸,[ 白云 金沙洲 ] 彩滨北路,白云,2室/3室/4室/5室,建筑面积：67-188㎡,
星云轩,[ 白云 机场路 ] 顺兴路1号,白云,2室/3室,建筑面积：82-121㎡,
新世界嘉云府,[ 白云 白云大道 ] 白云大道北1689号（白云堡豪苑对面）,白云,别墅,建筑面积：163-240㎡,26000
元邦明月金岸,[ 白云 金沙洲 ] 石井镇横沙村广佛路段，靠近城西花园,白云,2室/3室/4室/5室,建筑面积：84.16-166.96㎡,
卡布奇诺,[ 白云 南湖 ] 华远厂路段,白云,1室/3室/4室,建筑面积：22.59-146.38㎡,
圣地天河星荟,[ 白云 广州大道北 ] 京溪路70号,白云,2室/3室/5室,建筑面积：81-182㎡,
臻品云山,[ 白云 白云大道 ] 福泰西路80号-102号,白云,2室/3室,建筑面积：70-90㎡,
顺丰翠园,[ 白云 罗冲围 ] 石井兆丰路168号,白云,2室/3室,建筑面积：74-97㎡,
祥景花园,[ 白云 白云大道 ] 白云区黄石东路北侧，江景路东侧,白云,3室/4室,建筑面积：103-164㎡,
圣地摩坊公馆,[ 白云 广州大道北 ] 广州大道北京溪梅岗路5号,白云,1室/3室,建筑面积：47.02-107㎡,
柏林半山雅墅,[ 白云 白云大道 ] 白云白云山风景区东麓（云祥路地王南面...,白云,,建筑面积：128148㎡,
中海金沙熙岸,[ 白云 金沙洲 ] 大桥以南建设大道,白云,,建筑面积：410000㎡,
东湖映月,[ 白云 白云大道 ] 南村龙河西路,白云,别墅,建筑面积：171.04-217.89㎡,37000
岭南新世界,[ 白云 白云大道 ] 1689号（白云堡立交对面）,白云,2室/3室/4室,建筑面积：80-180㎡,
山水庭苑,[ 白云 南湖 ] 南湖同和路828号,白云,3室,建筑面积：120-139㎡,30000
百信广场,[ 白云 机场路 ] 棠乐路,白云,商业,建筑面积：38-73㎡,
云山名都,[ 白云 三元里 ] 三元里大道北与机场路交汇处,白云,2室/3室,建筑面积：81-139㎡,
骏御华庭,[ 白云 三元里 ] 三元里大道与机场路交汇（广百电器城旁...,白云,1室/2室/3室,建筑面积：31-122㎡,
倚绿山庄尚院,[ 白云 广州大道北 ] 同泰路倚绿东街,白云,2室/3室/4室,建筑面积：101-148㎡,24000
中海金沙湾,[ 白云 金沙洲 ] 大桥以南建设大道1号,白云,2室/3室/4室,建筑面积：70-155.95㎡,
时代糖果,[ 白云 金沙洲 ] 里横路糖果社区二期,白云,2室/3室/4室/别墅,建筑面积：77-286㎡,
秀山一品,[ 白云 三元里 ] 走马岗路25号,白云,2室/3室/4室/别墅,建筑面积：95.11-224.16㎡,
托斯卡纳mini home,[ 白云 白云大道 ] 白云区白云堡立交北行1公里,白云,1室/2室,建筑面积：45-89.7㎡,
美景国际公寓,[ 白云 三元里 ] 白云区 远景路西段 距离三元里大道约1...,白云,1室/2室/3室,建筑面积：38-152㎡,
万科idea爱地住区,[ 白云 金沙洲 ] 6号线始发浔峰岗站旁,白云,2室,建筑面积：60㎡,
邦华翠悦湾,[ 白云 罗冲围 ] 同康路子嘉街2号,白云,2室/4室,建筑面积：69.99-116.57㎡,
万科天河御品,[ 白云 广州大道北 ] 广州大道北京溪路东行300米,白云,2室/3室,建筑面积：78-126㎡,
云岭雅筑,[ 白云 白云大道 ] 南富悦街37号-59号,白云,2室,建筑面积：75㎡,
花城金沙汇,[ 白云 金沙洲 ] 地铁6号线横沙站B出口,白云,,建筑面积：15㎡,50000
方圆白云时光,[ 白云 机场路 ] 机场路白云区法院旁,白云,1室/2室,建筑面积：70-140㎡,
越秀天悦江湾,[ 海珠 南洲 ] 南洲路1026号,海珠,3室/4室,建筑面积：102-140㎡,80000
金融街融御,[ 海珠 工业大道 ] 石岗路12号,海珠,3室/4室,建筑面积：130-135㎡,60000
星汇海珠湾,[ 海珠 江燕路 ] 广纸路40号,海珠,商业,建筑面积：61-93㎡,30500
恒大金碧花园,[ 海珠 工业大道 ] 工业大道南,海珠,3室,建筑面积：91-132㎡,52000
华发江南府,[ 海珠 宝岗 ] 广州市海珠区宝岗大道中不动产交易中心...,海珠,4室,建筑面积：127-143㎡,63000
珠江壹号,[ 海珠 广州大道南 ] 海珠逸景路353号,海珠,,建筑面积：310000㎡,42000
紫星华府,[ 海珠 广州大道南 ] 广州大道南430号,海珠,,建筑面积：22338㎡,
世茂珠江天鹅湾,[ 海珠 宝岗 ] 革新路126号太古仓旁,海珠,4室,建筑面积：235-290㎡,100000
绿地越秀海玥,[ 海珠 工业大道 ] 南边路,海珠,2室/3室/4室,建筑面积：42-125㎡,53000
天誉半岛花园,[ 海珠 滨江 ] 同福西路40号,海珠,4室/5室,建筑面积：206-440㎡,120000
侨建HI·CITY,[ 海珠 南洲 ] 南洲路156号（南洲地铁站旁）,海珠,商业,建筑面积：56-99㎡,45000
合生广场,[ 海珠 广州大道南 ] 广州大道南249号,海珠,商业,建筑面积：43-103㎡,
珠江国际公馆,[ 海珠 广州大道南 ] 逸景路（中大商圈内）,海珠,商业,建筑面积：47-90㎡,35000
海珠半岛花园三期,[ 海珠 滨江 ] 滨江东路37号,海珠,4室,建筑面积：280-315㎡,110000
珠江帝景紫龙府,[ 海珠 赤岗 ] 艺洲路602号（广州塔东300米）,海珠,4室,建筑面积：188-189㎡,88000
中海观澜府,[ 海珠 南洲 ] 工业大道南侧环岛路海珠艺术创意园西,海珠,,建筑面积：147000㎡,
中冶名捷广场,[ 海珠 江燕路 ] 燕翔路和江燕路交界处（万宝大厦旁）,海珠,,建筑面积：74458㎡,
TIT创意园,[ 海珠 赤岗 ] 新港中路397号,海珠,,建筑面积：55000㎡,
中冶·逸璟公馆,[ 海珠 江燕路 ] 宝岗大道和江燕路交界处（万宝大厦旁）,海珠,,建筑面积：11174㎡,5000
滨江一号,[ 海珠 滨江 ] 洪德路2-6号新世纪商贸中心1-7层,海珠,商业,建筑面积：23-52㎡,
雅居乐海珠小雅K18,[ 海珠 工业大道 ] 广纸新城（地铁燕岗站）石岗路18号,海珠,,建筑面积：47-48㎡,35000
海珠万达广场,[ 海珠 广州大道南 ] 海珠区逸景路238号,海珠,,建筑面积：200000㎡,
国美·智慧城,[ 海珠 琶洲 ] 广州市海珠琶洲国美·智慧城,海珠,,建筑面积：240000㎡,
广东现代广告创意中心,[ 海珠 江南西 ] 昌岗东路257号,海珠,,建筑面积：56937㎡,
富力壹號半岛,[ 海珠 琶洲 ] 新港东路玥珑街1号（黄埔村牌坊北面）,海珠,商业,建筑面积：281-328㎡,90000
雅居乐海珠小雅,[ 海珠 工业大道 ] 石岗路18号,海珠,2室/3室/4室,建筑面积：74-114㎡,57000
泊雅湾,[ 海珠 赤岗 ] 艺苑路207号,海珠,2室/3室/4室,建筑面积：84.1-222㎡,82500
鸣翠花园·江悦,[ 海珠 工业大道 ] 新溪路25号,海珠,2室/3室,建筑面积：69-114㎡,52000
广昊大厦,[ 海珠 工业大道 ] 工业大道北110号,海珠,,建筑面积：84264㎡,
富力天域中心,[ 海珠 江南西 ] 海珠广州市海珠区江南大道与江南西路交...,海珠,,建筑面积：130000㎡,
珠江佳滨苑,[ 海珠 东晓 ] 海印桥南东晓路100号,海珠,2室/3室/4室,建筑面积：80-143㎡,60000
富基广场,[ 海珠 江南西 ] 小港路163号,海珠,2室/3室/4室,建筑面积：95-184㎡,42000
南洲汇,[ 海珠 南洲 ] 南洲路38号,海珠,,建筑面积：101190㎡,
罗马家园,[ 海珠 南洲 ] 南洲路88号,海珠,1室/3室/4室/5室,建筑面积：49-240㎡,47000
新城国际寓,[ 海珠 工业大道 ] 江南大道南与工业大道南交汇（第一金碧...,海珠,商业,建筑面积：37-97㎡,217
琶洲壹號,[ 海珠 琶洲 ] 新港东路2348号（万胜围地铁站沿新港东...,海珠,别墅,建筑面积：325-648㎡,12000
丽海雅居,[ 海珠 滨江 ] 滨江中路东沙街28号至38号（仲恺农学院...,海珠,2室/3室,建筑面积：85.03-135.46㎡,
鸿益华府,[ 海珠 工业大道 ] 新业路51号,海珠,2室/3室,建筑面积：82-98㎡,48000
珠江御景湾,[ 海珠 南洲 ] 华南快速干线瀛洲生态园珠江御景湾（即...,海珠,4室/5室/7室/9室,建筑面积：158.74-331.75㎡,
翠屏瀚宇贵都二期,[ 海珠 宝岗 ] 宝岗大道与南田路交界（电车总站南侧5...,海珠,3室/4室,建筑面积：88-140㎡,34000
保利世贸公寓,[ 海珠 赤岗 ] 新港东路1000号,海珠,1室/3室,建筑面积：74-156㎡,
中海锦榕湾,[ 海珠 工业大道 ] 水榕路112号至166号,海珠,2室,建筑面积：100.66-122.87㎡,
万科派,[ 海珠 江南西 ] 海珠江泰路站C出口上盖江南大道与江燕...,海珠,商业,建筑面积：48-73㎡,
星品,[ 海珠 赤岗 ] 新港东路北侧磨碟沙路东侧地段,海珠,2室/3室,建筑面积：89.24-110.95㎡,31726
利海假日轩,[ 海珠 赤岗 ] 赤岗东路赤岗中学对面（地铁2号线赤岗...,海珠,2室/3室,建筑面积：73-101㎡,
可逸家园,[ 海珠 江南西 ] 青柳大街,海珠,3室,建筑面积：98-106㎡,
信达阳光海岸,[ 海珠 滨江 ] 下渡路信泰街1—9号（滨江东路）,海珠,5室,建筑面积：277.87-290.78㎡,
星御翠园,[ 海珠 江南西 ] 凤康路135-167号（单号），星御街2-28...,海珠,1室/2室,建筑面积：38-47㎡,
花季华庭,[ 海珠 赤岗 ] 江海大道紫菀一路60号,海珠,2室/3室,建筑面积：94-144㎡,
创富商务公馆,[ 海珠 工业大道 ] 海珠广州市海珠区江晓路21-31号,海珠,,建筑面积：2846㎡,
江山国际,[ 海珠 琶洲 ] 新港东路48号（万胜围地铁B出口）,海珠,3室/4室,建筑面积：162-184㎡,47000
万科峯汇,[ 海珠 滨江 ] 同福西路169-209号北侧（人民桥脚）,海珠,1室/2室,建筑面积：40-115㎡,30000
领江壹号,[ 海珠 赤岗 ] 广州大道原收费站东侧、广东教育学院北...,海珠,2室/3室/4室,建筑面积：116-202㎡,
凤乐雅轩,[ 海珠 工业大道 ] 革新路凤安街85号,海珠,2室/3室/5室/7室,建筑面积：92-431㎡,
新一城广场,[ 海珠 宝岗 ] 宝业路1号,海珠,2室/3室/4室,建筑面积：75-140㎡,36000
邦华环球贸易中心,[ 海珠 琶洲 ] 新港东路148号（磨碟沙站）,海珠,商业,建筑面积：1075㎡,
力迅时光里,[ 海珠 江南西 ] 海逸街9号（即江南大道中与南天路交界...,海珠,2室/3室/4室,建筑面积：69.92-171㎡,
中海橡园国际,[ 海珠 工业大道 ] 榕景路（沙园地铁站）,海珠,2室/3室,建筑面积：74-111㎡,
银山尚橙,[ 海珠 工业大道 ] 革新路以东、新民五街以北地段,海珠,1室/2室/4室,建筑面积：78.7-150㎡,23000
邦泰国际公寓,[ 海珠 琶洲 ] 新港东路3号,海珠,1室/2室,建筑面积：39-84.49㎡,
华标品峰,[ 海珠 滨江 ] 滨江中路466号,海珠,4室,建筑面积：251.86-294.23㎡,
世纪云顶雅苑,[ 海珠 广州大道南 ] 海珠区广州大道南西侧，金菊路南边，经...,海珠,2室/3室,建筑面积：91.25-112.29㎡,
绿地滨江汇,[ 海珠 工业大道 ] 石岗路,海珠,1室/2室,建筑面积：35-106㎡,
源海御苑,[ 海珠 工业大道 ] 革新路6号,海珠,2室/3室,建筑面积：87.48-136.43㎡,26000
君华天汇,[ 海珠 滨江 ] 南华西路以北、滨江西路以南,海珠,3室,建筑面积：93㎡,
君汇上品,[ 海珠 广州大道南 ] 江南大道中益丰搪瓷厂,海珠,2室/3室/4室,建筑面积：85-153㎡,
可逸锦苑,[ 海珠 江南西 ] 杏园大街（南武中学对面）,海珠,4室/5室/6室,建筑面积：156-225㎡,
可逸隽轩,[ 海珠 江南西 ] 南田路（广东药学院旁边）,海珠,3室/4室,建筑面积：93-137㎡,
东华星域,[ 海珠 江南西 ] 江南大道中79号,海珠,1室/2室/3室,建筑面积：46-131㎡,
保利天悦叁悦广场,[ 海珠 琶洲 ] 阅江东路（保利天悦内）,海珠,,建筑面积：183㎡,
滨江瑞城,[ 海珠 东晓 ] 东晓南路1510-1526号（双号）,海珠,,建筑面积：77483㎡,
广州之窗商务港,[ 海珠 南洲 ] 沥滘振兴大街14、16、18号,海珠,,建筑面积：344100㎡,
越和商城,[ 海珠 江南西 ] 宝岗大道,海珠,,建筑面积：27000㎡,
保利天悦,[ 海珠 琶洲 ] 新港东路琶洲村地段,海珠,5室/商业,建筑面积：32-303㎡,
恒洲小苑,[ 海珠 南洲 ] 南洲路307-319号,海珠,2室/3室/4室,建筑面积：76-137㎡,
纵横国际公寓,[ 海珠 赤岗 ] 新港中路456号,海珠,1室,建筑面积：60-70㎡,45000
中海联同福睿府,[ 海珠 江南西 ] 海珠区同福东路608号,海珠,商业,建筑面积：88-145㎡,
馨晴轩,[ 海珠 江南西 ] 万寿路素社六巷3号之1至9,海珠,1室/2室/3室,建筑面积：50-131㎡,
海珠湖景峰,[ 海珠 南洲 ] 南洲路北侧,海珠,1室/2室/3室,建筑面积：57-127㎡,27000
逸景翠园,[ 海珠 广州大道南 ] 广州大道南1028号,海珠,2室/3室/4室,建筑面积：90-123㎡,
合生帝景国际,[ 海珠 江南西 ] 昌岗路与江南大道交会处,海珠,2室/3室,建筑面积：89-120㎡,
馨润尚寓,[ 海珠 东晓 ] 英豪花园内（东晓南路与盈丰路路口）,海珠,1室/3室,建筑面积：40-100㎡,
和丰国际大厦,[ 海珠 广州大道南 ] 南叠景路138号,海珠,1室/2室,建筑面积：68.22-115.86㎡,
益兆明珠,[ 海珠 滨江 ] 滨江西路130号,海珠,2室/3室/4室,建筑面积：71.65-143.89㎡,
东银广场,[ 海珠 东晓 ] 东晓路38号（明珠花园对面）,海珠,2室/3室,建筑面积：83.36-115㎡,
高雅湾,[ 海珠 滨江 ] 滨江东路318号,海珠,3室/4室/5室,建筑面积：126-179㎡,
会展世界城,[ 海珠 琶洲 ] 新港东路48号,海珠,3室,建筑面积：183-183㎡,
珠江帝景克莱君殿二期,[ 海珠 赤岗 ] 新港中路艺苑路99号,海珠,4室/5室,建筑面积：149.11-204.32㎡,
怡乐花园三期,[ 海珠 东晓 ] 怡乐路怡乐四巷6-8号,海珠,3室/4室,建筑面积：96.23-147.52㎡,
珠江新岸公寓,[ 海珠 滨江 ] 滨江东玉涵路28号（广州大道南西侧、滨...,海珠,1室/2室,建筑面积：47-88㎡,
恒鑫东和湾,[ 海珠 滨江 ] 滨江东路698号下渡路西侧,海珠,1室/2室/3室,建筑面积：60.27-97.18㎡,
保利世贸G座,[ 海珠 琶洲 ] 海珠新港东路1000号保利世贸中心,海珠,,建筑面积：74㎡,32000
万科华庭,[ 海珠 工业大道 ] 同福西路169—209号北侧,海珠,,建筑面积：17397㎡,
中洲交易中心,[ 海珠 赤岗 ] 新港东路1088号,海珠,,建筑面积：178009㎡,
印象琶洲公寓,[ 海珠 赤岗 ] 新港东路北侧、珠江啤酒厂宿舍楼南侧,海珠,,建筑面积：16319㎡,
盘龙府,[ 海珠 滨江 ] 滨江东路518号,海珠,,建筑面积：6889㎡,
佳大滨江商业街,[ 海珠 滨江 ] 海珠仲恺路,海珠,,建筑面积：1163㎡,80000
日之泉锦都国际轻纺城,[ 海珠 东晓 ] 新港西路,海珠,,建筑面积：30000㎡,
江南花园三期,[ 海珠 江南西 ] 江南西路与宝岗大道交界,海珠,,建筑面积：61105㎡,
碧桂园荔山雅筑,[ 从化 街口 ] 105国道,从化,3室,建筑面积：109-120㎡,14000
时代印象,[ 从化 太平镇 ] 太平地铁口,从化,3室/4室,建筑面积：79-107㎡,
合家和府,[ 从化 城郊街 ] 城新路136号,从化,2室/3室,建筑面积：90-124㎡,15000
巴厘天地上苑,[ 从化 太平镇 ] 广从北路263号,从化,2室/3室,建筑面积：74.28-102.3㎡,15000
越秀逸泉锦翠,[ 从化 江埔街 ] 环市东路广外实验小学东侧,从化,3室/4室,建筑面积：71-93㎡,14500
保利时代,[ 从化 江埔街 ] 灌村路,从化,2室/3室/5室,建筑面积：61-117㎡,15000
招商金茂保利和府花园,[ 从化 街口 ] 西宁小学北,从化,3室/4室,建筑面积：68-105㎡,17500
保利桃花源,[ 从化 温泉镇 ] 温泉镇桃花源路,从化,别墅,建筑面积：98-199㎡,
珠江壹城,[ 从化 太平镇 ] 105国道,从化,2室/3室/4室,建筑面积：83-200㎡,17000
宏润天睿,[ 从化 鳌头镇 ] 城鳌大道东854号,从化,3室,建筑面积：78-102㎡,10500
景业荔都,[ 从化 温泉镇 ] 宣星运动谷,从化,2室/3室/4室,建筑面积：87-143㎡,10500
云星钱隆天誉,[ 从化 太平镇 ] 丰盈路7号,从化,3室,建筑面积：86-123㎡,15500
名城御景世嘉,[ 从化 江埔街 ] 河东南路388号,从化,2室/3室/4室,建筑面积：108-145㎡,15000
时代幸汇,[ 从化 江埔街 ] 环市东路188号兰馨花园,从化,3室/4室,建筑面积：97.52-115㎡,17500
东方夏湾拿,[ 从化 太平镇 ] 神岗镇广从公路,从化,4室/5室,建筑面积：144-283㎡,18000
景业珑泉湾,[ 从化 温泉镇 ] 流溪温泉度假区内,从化,别墅,建筑面积：269-287㎡,28000
富力泉天下,[ 从化 温泉镇 ] 景泉大道近温泉大道,从化,别墅,建筑面积：190-410.5㎡,11000
珠光山水诚品,[ 从化 江埔街 ] 从化区江埔街江村地段,从化,2室/3室,建筑面积：75-142㎡,13000
远达广场,[ 从化 街口 ] 从城大道89号,从化,2室/3室,建筑面积：73-107㎡,21000
仟信广场,[ 从化 城郊街 ] 河滨北路儿童公园北面,从化,3室,建筑面积：104.06-130.29㎡,24500
时代幸汇商铺,[ 从化 江埔街 ] 兰馨街兰馨花园,从化,,建筑面积：68603㎡,19700
大城云山云山墅,[ 从化 太平镇 ] 从化区太平镇广从南路1033号大城云山售...,从化,3室,建筑面积：130.91-138.44㎡,20000
碧桂园溪畔名苑,[ 从化 街口 ] 街口河滨北路86号（河岛公园旁）,从化,商业,建筑面积：37-80㎡,14000
合景花䕕四季,[ 从化 鳌头镇 ] 鳌头客运站旁,从化,,建筑面积：413778㎡,
嘉骏幸福里,[ 从化 城郊街 ] 安园街43号,从化,3室,建筑面积：89.87-106.1㎡,17000
富力泉天下商铺,[ 从化 温泉镇 ] 景泉大道,从化,,建筑面积：580000㎡,10000
幸福园,[ 从化 鳌头镇 ] 高平村G106国道地段,从化,3室,建筑面积：111-113㎡,7400
珠光御景山水城,[ 从化 江埔街 ] 105国道,从化,3室/4室,建筑面积：88-142㎡,15500
亿城泉说,[ 从化 温泉镇 ] 悦泉路,从化,别墅,建筑面积：104-680㎡,31000
汉中紫薇苑,[ 从化 江埔街 ] 河东南路56号,从化,3室/4室,建筑面积：97-140㎡,18000
珠光云岭湖,[ 从化 街口 ] 355省道,从化,,建筑面积：125000㎡,12000
万兴港湾写字楼,[ 从化 鳌头镇 ] 城鳌大道东岭南大街,从化,,建筑面积：44-69㎡,
紫泉流溪湾,[ 从化 太平镇 ] 康乐西路,从化,2室/3室/别墅,建筑面积：76-290㎡,15000
珠光山水御苑,[ 从化 温泉镇 ] 温泉大道13号,从化,2室/3室/4室,建筑面积：75-171㎡,13800
安合花园,[ 从化 鳌头镇 ] 前进路鳌头镇政府旁,从化,2室/3室,建筑面积：70-90㎡,9500
智杰雅筑,[ 从化 城郊街 ] 向阳一路32号,从化,3室/4室,建筑面积：92-165㎡,17000
宏诚海峰花园,[ 从化 江埔街 ] 环市东路（G105）453号海逸半岛花园旁,从化,2室/3室/4室,建筑面积：79-133㎡,18000
